Category,Program Name,URL,Description
Nursing,"Accelerated Bachelor of Science in Nursing, BSN",/programs/accelerated-bachelor-science-nursing-bsn,Starts in Winter Session 60 credits Attend classes on campus and online Faculty with experience in a variety of nursing disciplines Curriculum that incorporates current clinical expertise of the faculty within the nursing courses/clinical rotations Strong test policy that includes NCLEX Next-Gen style questions Access to state-of-the-art facilities including high-fidelity simulation and virtual reality technology Individualized and NCLEX-prep coaching Faculty advising On-campus childcare Access to state-of-the-art labs Financial aid and scholarships available
Nursing,"Nursing, MSN",/programs/nursing-msn,40-credit program Attend part-time 100% online Doctoral prepared faculty with real world experience A supportive environment for students with the challenges of work/school/family responsibilities Virtual simulation Dedicated Program Coordinator Individual 1:1 advising Financial aid and scholarships are available No GMAT/GRE required Degree can be completed in 18 months Fully accredited by the Commission on Collegiate Nursing Education (CCNE) through 2034 in today’s evolving healthcare landscape
Peace Studies,"Peace Studies, Minor",/programs/peace-studies-minor,
Personal Financial Planning,"Personal Financial Planning, Minor",/programs/personal-financial-planning-minor,
Philosophy,"Philosophy, BA",/programs/philosophy-ba,
Philosophy,"Philosophy, Minor",/programs/philosophy-minor,
Physical Education,"Physical Education, BS",/programs/physical-education-bs,
Physical Education,"Physical Education with Specialization in Exercise Science, MS",/programs/physical-education-specialization-exercise-science-ms,
Physical Education,"Physical Education with Specialization in Teaching Physical Education (For Certified Teachers), MS",/programs/physical-education-teaching-pe-ms,
Physical Education,Post-Baccalaureate Teacher Preparation in Physical Education (K-12),/programs/post-baccalaureate-teacher-preparation-physical-education-k-12,
Physics,"Physics, BS",/programs/physics-bs,
Physics,"Physics, Minor",/programs/physics-minor,
Physics,"Physics (Certifiable for Secondary Education), BS",/programs/physics-certifiable-secondary-education-bs,
Polish Studies,"Polish Studies, Minor",/programs/polish-studies-minor,
Political Science,"Political Science, BA",/programs/political-science-ba,
Political Science,"Political Science, Minor",/programs/political-science-minor,
Pre-Health Studies,Official Certificate Program in Pre-Health Studies,/programs/official-certificate-program-pre-health-studies,
Psychological Science,"Psychological Science, BA",/programs/psychological-science-ba,
Psychological Science,"Psychological Science, Minor",/programs/psychological-science-minor,
Psychological Science,"Psychology, MA",/programs/psychology-ma,
Public Relations/Promotions,Official Certificate Program in Public Relations/Promotions,/programs/official-certificate-program-public-relations/promotions,
Racial Justice,Racial Justice Certificate,/programs/racial-justice-certificate,
Reading & Language Arts,"Reading and Language Arts, MS",/programs/reading-and-language-arts-ms,Starts every January and August Attend full- or part-time Courses offered on-campus and online National recognition by International Literacy Association Alignment with International Dyslexia Association’s standards Financial aid is available No essay/interview required for admission
Reading & Language Arts,Advanced Official Certificate Program in Reading and Language Arts,/programs/advanced-official-certificate-program-reading-and-language-arts,
Reading & Language Arts,Sixth-Year Certificate in Reading and Language Arts,/programs/sixth-year-certificate-reading-and-language-arts,
Religious Studies,"Religious Studies, Minor",/programs/religious-studies-minor,
Robotics & Mechatronics,"Robotics and Mechatronics Engineering Technology, BS",/programs/robotics-and-mechatronics-engineering-technology-bs,
Science,"Science, Minor",/programs/science-minor,
Science,Post-Baccalaureate Teacher Preparation in Science for Secondary Education,/programs/post-baccalaureate-teacher-preparation-science-secondary-education,
Social Studies,"Social Studies, Minor",/programs/social-studies-minor,
Social Work,"Social Work, BA",/programs/social-work-ba,
Social Work,"Social Work, MSW",/programs/social-work-msw,"Starts every August Advanced standing 30-credit program for BSW holders 60-credit program for non-BSW holders Attend full-or part-time Classes offered on-campus with evening options Rigorous, rich curriculum Internship opportunities Free on-campus childcare Financial aid available"
Sociology,"Sociology, BA",/programs/sociology-ba,
Sociology,"Sociology, Minor",/programs/sociology-minor,
Software Engineering,"Software Engineering, MS",/programs/software-engineering-ms,
Software Engineering,Official Certificate Program in Software Engineering,/programs/official-certificate-program-software-engineering,
Spanish,Certificate in Spanish for Health Professionals,/programs/certificate-spanish-health-professionals,
Spanish,"Spanish (Certifiable for Secondary Education), BS",/programs/spanish-certifiable-secondary-education-bs,
Special Education,Five-Year Accelerated BS+MS in Special Education,/programs/five-year-accelerated-bsms-special-education,
Special Education,"Special Education, MS",/programs/special-education-ms,
Special Education,"Special Education: Specialization for Initial Certification or Teachers Seeking Cross Endorsement, MS",/programs/special-education-initial-cert-cross-endorsement,
Special Studies,Individualized Major,/programs/individualized-major,
STEM Education for Certified Teachers,"Science, Technology, Engineering, and Math Education (STEM), MS",/programs/science-technology-engineering-and-math-education-stem-ms,"Starts every January and August 33-credit program Attend part-time Classes offered evenings and Saturdays on-campus Completion in as little as 3 years Hybrid class option (50% in person, 50% online) Financial aid is available No GMAT/GRE required"
Superintendent of Schools,Advanced Official Certificate Program in Superintendent of Schools,/programs/advanced-official-certificate-program-superintendent-schools,
Supply Chain & Logistics,"Supply Chain and Logistics Management, MS",/programs/supply-chain-and-logistics-management-ms,"Starts every January, May, and August 33-credit program Attend full- or part-time Classes accommodate working professionals Access to faculty with deep industry work experience Diverse categories of elective courses Choose from three capstone experiences:Comprehensive examApplied research paperMaster’s thesis Comprehensive exam Applied research paper Master’s thesis Financial aid is available No GMAT/GRE required"
Supply Chain & Logistics,Official Certificate Program in Supply Chain and Logistics,/programs/official-certificate-program-supply-chain-and-logistics,Starts every January and August 12-credit program Attend part-time Classes offered evening on-campus and online Can be completed in one year No GMAT or GRE required
Teacher Education,"Teacher Education, MAT",/programs/teacher-education-mat,
